CERTIFICATIONID,DESCRIPTION,JUSTICE
"163,384",Rockford 5-0 a community based outreach mentoring program,"1,200"
"163,382",Payment to IRS to set up exempt status for Crimestoppers Program,400
"163,332",National Law Enforcement Officers Memorial Fund,"5,000"
"163,332",Okaloosa County Schools CHOICE program - Raging Robots,"3,500"
"163,294",Constant Contact (for Re-entry Conference),360
"163,294",Special Olympics,130
"163,286",FREER CRIME STOPPERS,"2,000"
"163,285",BENAVIDES LITTLE LEAGUE,450
"163,285",FREER CRIME STOPPERS,"2,000"
"163,277",Drug Endangered Children Program,"92,693"
"163,210",Hillsboro Explorer Program,"1,000"
"163,173",Rape Aggression Defense (RAD) Program - (Clothing & Equipment purchase),906
"163,094",Gautier Explorer Troop,225
"163,047",Reimburse Aransas Pass for Youth Org. for shirts for summer camp.,"2,337"
"163,047",Reimburse Chamber of Commerce for Shrimporee clean-up crew shirts.,300
"163,047",Reimburse Tri County Crime Stoppers for subscription to Tip-Submit,"2,016"
"163,047",Reimburse utilities for the Coastal Bend Children's Advocacy Center.,"2,784"
"162,982",Citizens Academy,"3,437"
"162,922",Arlington County Treasurer (soccer event tee shirts),840
"162,858",M.A.G.I.C (Mentoring Advising Guiding Instructing Children) Program,"25,148"
"162,849",Police Elderly Service Program,450
"162,845",EMERGENCY COMMUNICATIONS NETWORK,"2,000"
"162,750","Drug education supplies - Creative Services of New England &Quality Logos",393
"162,700",Badges and Pins,"2,780"
"162,417",WIMO Radio Drug Education PSA,101
"162,410",I know my plan/RAD (Self Defense Class),450
"162,346",AAA Police Supply Uniform Equipment,690
"162,336",National Night Out,277
"162,231",Youth assistance,"3,000"
"162,205",Child Advocacy Center,"8,032"
"162,205",Project Harmony,"5,000"
"162,175",ATHLETES FOR LIFE FOUNDATION,"5,000"
"162,175",SALVATION ARMY,"5,000"
"162,175",SAN BERNARDINO COUNTY WIDE GANGS/DRUGS TASK FORCE,"10,000"
"162,175",TIME FOR CHANGE FOUNDATION,"5,000"
"162,175",YOUNG VISIONARIES YOUTH LEADERSHIP ACADEMY,"5,000"
"162,146",Police Reserve Program,"9,530"
"161,973",Crime Watch Expenses,"4,246"
"161,911","National Night Out promotion, fingerprint kits for kids, crime prevention awareness","2,011"
"161,906",Des Moines Police Activities League,"2,752"
"161,790",Lake County Crime Stoppers,"5,000"
"161,790",Waukegan Citizens' Police Academy,"1,720"
"161,765","Coffee with a Cop- Community based free event for citizens to meet cops, one on one.  Posters were purchased to promote the event.",170
"161,765","Family Day at the Park-community outreach event to educate citizens on safetyBalloons, table clothes, decorations were purchased for event",242
"161,675",Port Isabel Boys & Girls Club - Basketball camp,"5,000"
"161,561","Berkeley County Residents: We participate in various events and programs advocating a Drug-Free lifestyle and Crime Prevention awareness. Drug Free logo items such as bookmarks, cups, coloring books, pencils/pens, key chains, bags and candy are distributed during these events.","3,835"
"161,550",CITY OF BUFFALO POLICE ATHLETIC LEAGUE,"2,786"
"161,534",National Law Enforcement Officers Memorial Fund (Museum),300
"161,507",Law Enforcement Museum donation,100
"161,494",Community Outreach-Rental and Supplies for booth to distribute crime and drug prevention information,"8,126"
"161,466",Murrieta Valley unified School Dist. (D.A.R.E. and Youth Court Programs),"23,609"
