CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"163,459",FL0060000,Broward County Sheriff's Office,"14,200","7,549"
"163,453",FL0500000,PALM BEACH SHERIFF'S OFFICE,"1,764",
"163,434",VAVSP0000,Virginia State Police - Blue Ridge Narcotics & Gang Task Force,"5,131",
"163,426",GAEQ00104,Marietta Cobb Smyrna/Narcotics & Organized Crime U,"43,173",
"163,423",TX1810000,Orange County Sheriffs Office,,"4,322"
"163,399",FL0520000,Pinellas County Sheriff Office,,"1,868"
"163,383",FL0060000,Broward Sheriff's Office,245,"7,549"
"163,383",FL0060300,Fort Lauderdale Police Department,"24,847",
"163,338",MOEQ00221,Regional Computer Crime Education & Enforcement Task Force,"151,127",
"163,334",TXEQ00062,Fort Worth DEA Taskforce,"64,163",
"163,328",TXEQ00062,"Fort Worth DEA Task Force, Ft. Worth, TX","34,836",
"163,303",FL0060000,Broward County Sheriff's Office,"154,588","11,976"
"163,303",FL0060300,Fort Lauderdale Police Department,"13,497",
"163,262",AZ0110000,PINAL COUNTY SS OFFICE,,"18,770"
"163,254",FL0060000,Broward Sheriff's Office,"14,200","7,549"
"163,195",VA030013A,Commonwealth of VA Attorney General & Dept of Law,,"13,532"
"163,180",FL0460001,Okaloosa County Sheriff's Office,"32,787",
"163,171",CA0013700,Alameda County Sheriff's Narcotics Task Force,"59,413",
"163,131",TX0940000,Guadalupe County Sheriff's Office,551,
"163,127",WVP001000,USPIS,"13,312",
"163,097",VA122015A,Office of the Attorney General,,"4,869"
"163,090",FL0060000,BROWARD SHERIFF'S OFFICE,"14,379","7,549"
"163,068",FLEQ00213,SOUTH FLORIDA MONEY LAUNDERING STRIKE FORCE,,"65,202"
"163,058",VA122015A,Office of Attorney General of Virginia,,"79,010"
"163,058",VAVTF0802,Blue Ridge Task Force,"5,131",
"163,041",VA122015A,OFFICE OF THE ATTORNEY GENERAL,,"42,850"
"163,036",NY030011Y,"Department of Investigation, New York, NY","2,000,000",
"163,033",VA122015A,Virginia Attorney General Office,,"59,675"
"163,025",AL0480700,17th Judicial Circuit Drug Task Force,"49,051",
"163,016",OR0090000,Deschutes County Sheriff's Office,"3,673",
"163,006",TX1810000,Orange County Sheriff's Office,,"4,322"
"163,005",VAVTF0802,BLUE RIDGE NARCOTICS AND GANG TASK FORCE,"5,131",
"162,992",FL0060000,"Broward Sheriff's Office, Fort Lauderdale, Florida","14,200","5,398"
"162,972",GA0560000,Fayette County Sheriff's Office,"21,728","2,801"
"162,943",FL0530000,Polk County Sheriff's Office,"1,671",
"162,934",TX1810000,ORANGE COUNTY SHERIFF'S OFFICE,,"4,322"
