CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"163,445",AR0460000,"Miller County, Arkansas Sheriffs Office","3,224",
"163,445",AR0460100,Texarkana Arkansas Police Department,"3,224",
"163,430",TX0610500,Lake Dallas Police Department,,"3,250"
"163,427",GA0330000,Cobb County Sheriff's Office,"43,173",
"163,427",GA0330200,Cobb County Police Department,"43,173",
"163,427",GA0330300,Marietta Police Department,"43,173",
"163,427",GA0330402,Smyrna Police Department,"43,173",
"163,427",GA0330500,Acworth Police Department,,"17,989"
"163,427",GA0330600,Kennesaw Police Department,,"17,989"
"163,427",GA0330800,Powder Springs Police Department,,"17,989"
"163,419",FL0060000,BROWARD SHERIFF'S OFFICE,"79,130",
"163,373",TX1150000,Hudspeth County,"150,000",
"163,300",TX0920000,"Gregg County Sheriff Department, Longview, TX","31,625",
"163,300",TX1070000,"Henderson County Sheriff Department, Henderson, TX","4,491",
"163,300",TX2010100,"Henderson Police Department, Henderson, TX","31,625",
"163,300",TX2120000,"Smith County Sheriff Department, Tyler, TX.","31,625",
"163,300",TX2120400,"Tyler Police Department, Tyler, TX","23,999",
"163,300",TX2300000,"Upshur County Sheriff Department, Gilmer, TX","31,625",
"163,260",IL0370900,Kewanee Police Department,"10,000",
"163,260",IL0520300,Dixon Police Department,"10,000",
"163,260",IL0980000,Whiteside County Sheriff's Office,"10,000",
"163,260",IL0980700,Sterling Police Department,"10,000",
"163,198",TX1810100,BRIDGE CITY POLICE DEPARTMENT,,"4,322"
"163,198",TX1810200,ORANGE POLICE DEPARTMENT,,"4,322"
"163,198",TX1810300,PINE HURST POLICE DEPARTMENT,,"4,322"
"163,198",TX1810400,VIDOR POLICE DEPARTMENT,,"4,322"
"163,198",TX1810500,WEST ORANGE POLICE DEPARTMENT,,"4,322"
"163,156",WI0132700,Dane County Narcotics Task Force,"5,200",
"163,156",WI0300800,Pleasant Prairie Police Department,"2,000",
"163,156",WI0710011,Lake Winnebago Area Meg - Drug Unit,"6,100",
"163,156",WI0710011,Lake Winnebago Area Meg - Drug Unit,"1,750",
"163,156",WI0710301,Oshkosh Police Department,"4,900",
"163,156",WIDCI0000,Wisconsin Department of Justice,"5,000",
"163,156",WIDCI0000,Wisconsin Department of Justice,"5,000",
"163,156",WIDCI0000,Wisconsin Department of Justice,"5,000",
"163,156",WIEQ00078,Brown County Sheriff Drug Task Force,"1,750",
"163,127",KY0100100,Ashland KY Police Department,"5,000",
"163,127",WV0060100,Barboursville WV Police Department,"5,000",
"163,127",WV0060200,Huntington WV Police Department,"5,000",
"163,127",WV0061900,West Virginia State Police,"5,000",
"163,127",WV0064000,Cabell County WV Sheriff's Department,"5,000",
"163,077",FL0060000,BROWARD COUNTY SHERIFF'S OFFICE,"96,420","16,443"
"163,077",FL0061800,LAUDERHILL POLICE DEPARTMENT,"3,780",
"163,077",FL0130400,HIALEAH POLICE DEPARTMENT,"4,918",
"163,077",FL0130500,CITY OF HOMESTEAD POLICE DEPARTMENT,"149,296",
"163,077",FL0130700,MIAMI BEACH POLICE DEPARTMENT,"69,994",
"163,077",FL0130800,MIAMI SHORES POLICE DEPARTMENT,"70,000",
"163,077",FL0132000,VILLAGE OF VIRGINIA GARDENS POLICE DEPARTMENT,"28,247",
"163,077",FL0132700,TOWN OF MEDLEY POLICE DEPARTMENT,"52,614",
"163,077",FL0370100,FLORIDA DEPARTMENT OF LAW ENFORCEMENT,949,
"163,019",TX112015A,"Hopkins County District Attorney, Sulphur Springs, Texas","72,634",
"162,963",OR0090700,Central Oregon Law Enforcement Services COLES/CODE,"3,673",
"162,958",AL0160000,Clarke County Sheriff's Department,"2,080",
"162,958",AL0480100,Demopolis Police Department,"12,760",
"162,958",AL048015A,17th Judicial Circuit District Attorney's Office,"49,051",
"162,958",AL0600500,University of West Alabama Campus Police,"2,283",
"162,829",FL0010100,City of Gainesville Police Department,"166,588","7,680"
"162,829",FL0010600,University of Florida Police Department,"7,993",602
"162,829",FL0379001,Florida Highway Patrol,"29,290",
"162,770",GA033015A,Cobb County DA's Office,,665
"162,357",VT0010300,Vergennes City Treasurer,"2,625",
"162,357",VT0020000,Bennington County Sheriff's Dept.,"1,041",
"162,357",VT0020100,Bennington Town Treasurer,"1,140",
"162,357",VT0020400,Manchester Town Treasurer,407,
"162,357",VT0040300,South Burlington City Treasurer,"1,331",
"162,357",VT0040400,Winooski City Treasurer,965,
"162,357",VT0060100,St. Albans City Treasurer,"12,209",
"162,357",VT0080100,Morristown Town Treasurer,"2,226",
"162,357",VT0100100,Newport City Treasurer,"5,937",
"162,357",VT0110000,Rutland County Sheriff's Dept.,"1,331",
"162,357",VT0110200,Rutland City Treasurer,"3,638",
"162,357",VT0140200,Springfield Town Treasurer,"2,364",
"162,357",VT0140300,Hartford Town Treasurer,"1,032",
"162,322",TX0890600,Gonzales County Constable Pct 3,157,
"162,313",VA0860000,"Smyth County Sheriff's Office, Marion, Virginia",,"113,893"
"162,313",VA0860200,"Saltville Police Dept., Saltville, Virginia",,"38,240"
"162,311",VA0860000,"Smyth County Sheriff's Office, Marion, Virginia",,"113,893"
"162,311",VA0860200,"Saltville Police Dept., Saltville, Virginia",,"38,240"
"162,256",CAEQ00314,Amador County Combined Narcotics Enforcement Team,"269,282",
"162,250",AL0120000,Chambers County Sheriff's Office,"1,152",
"162,250",AL0120100,Lafayette PoliceDepartment,"1,152",
"162,250",AL0120200,Lanett Police Department,"1,152",
"162,250",AL0120400,Valley Police Department,"1,152",
"162,155",CT0005400,Glastonbury CT Police,835,
"162,155",CT0013200,South Windsor CT Police,835,
