CERTIFICATIONID,AGENCYNAME,NCIC
"163,427",Acworth Police Department,GA0330500
"163,427",Cobb County District Attorney's Office,GA033015A
"163,427",Cobb County Police Department,GA0330200
"163,427",Cobb County Sheriff's Office,GA0330000
"163,427",Cobb County Solicitor,GA033033A
"163,427",Kennesaw Police Department,GA0330600
"163,427",Marietta Police Department,GA0330300
"163,427",Powder Springs Police Department,GA0330800
"163,427",Smyrna Police Department,GA0330402
"163,361",Mineral County Sheriffs Office,WV0290000
"163,361",West Virginia State Police,WVWSP0000
"163,345",Alabaster Police Department,AL0590400
"163,345",Helena Police Department,AL0590700
"163,345",Pelham Police Department,AL0590600
"163,345",Shelby County District Attorney's Office,AL059015A
"163,345",Shelby County Sheriff's Office,AL0590000
"163,341",Bell County Sheriff's Department,TX0140000
"163,341",Belton Police Department,TX0140200
"163,341",Harker Heights Police Department,TX0140300
"163,341",Killeen Police Department,TX0140400
"163,341",Temple Police Department,TX0140700
"163,337",Adrian Police Department,MI4620200
"163,337",Lenawee County Sheriff's Office,MI4614600
"163,337",Michigan State Police,MI4604200
"163,337",Raisin Township Department of Public Safety,MI4668900
"163,297",Clay County Drug Task Force,MO0242000
"163,297",Clay County Investigative Squad,
"163,293",7th Judicial Circuit District Attorney's Office,AL011015A
"163,293",Calhoun County Commission,AL0110000
"163,293",City of Anniston Police Department,AL0110100
"163,293",City of Heflin Police Department,AL0180100
"163,293",City of Jacksonville Police Department,AL0110200
"163,293",City of Piedmont Police Department,AL0110300
"163,293",City of Weaver Police Department,AL0110400
"163,293",Jacksonville State University Police Department,AL0110800
"163,289",Michigan State Police,mi6500700
"163,289",Oscoda County Sheriffs Department,mi6816800
"163,289",Roscommon County Sheriffs Department,mi7217200
"163,289",West Branch City Police,mi6581600
"163,288",Big Rapids Department of Public Safety,MI5425600
"163,288",Ferris State University Department of Public Safety,MI5486400
"163,288",Ionia County Sheriff's Department,MI3413400
"163,288",Mecosta County Sheriff's Department,MI5415400
"163,288",Michigan State Police,MI6206700
"163,288",Montcalm County Sheriff's Department,MI5915900
"163,288",Newaygo County Sheriff's Department,MI6216200
"163,260",Blackhawk Area Task Force,IL0981100
"163,260",Dixon Police Department,IL0520300
"163,260",Kewanee Police Department,IL0370900
"163,260",Sterling Police Department,IL0980700
"163,260",Whiteside County Sheriff's Office,IL0980000
"163,259",Louisiana State Police,LALSP0800
"163,259",Monroe Police Department,LA0370100
"163,259",Ouachita Parish Sheriff's Office,LA0370000
"163,259",West Monroe Police Department,LA0370200
"163,208",Boulder County DA's Office,CO007015A
"163,208",Boulder County Drug Task Force,CO0078000
"163,208",Boulder County Sheriff,CO0070000
"163,208",City of Boulder Police Department,CO0070100
"163,208",City of Lafayette Police Department,CO0070300
"163,208",City of Louisville Police Department,CO0070600
"163,208",Town of Erie Police Department,CO0620700
"163,208",University of Colorado Police Department,CO0070500
"163,159",CoeurdAlene Police Department Drug Task Force,IDEQ00200
"163,159",Kootenai County Sheriff' Office,ID0280000
"163,159",Post Falls Police Department,ID0280200
"163,142",Angelina County Sheriff's Office,TX0030000
"163,142",City of Crockett Police Department,TX1130100
"163,142",City of Diboll Police Department,TX0030100
"163,142",City of Nacogdoches Police Department,TX1740200
"163,142",Nacogdoches County Sheriff's Office,TX1740000
"163,127",Barboursville WV Police Department,WV0060100
"163,127",Cabell County WV Sheriff's Department,WV0064000
"163,127",Huntington WV Police Department,WV0060200
"163,127",West Virginia State Police,WV0061900
"163,115",Adam's County Sheriff&apos;s Department,NB0010000
"163,115",Buffalo County Sheriff's Department,NB0100000
"163,115",Federal Bureau of Investigation,NBFBI0M00
"163,115",Grand Island Police Department,NB0400100
"163,115",Hall County Sheriff's Department,NB0400000
"163,115",Hasting Police Department,NB0001000
"163,115",Homeland Security Investigations,NBICE0300
"163,115",Kearney Police Department,NB0100100
"163,115",Nebraska State Patrol,NBNSP0K00
"163,079",Bibb County Sheriff Department,AL0070000
"163,079",Brent Police Department,AL0070100
"163,079",Camden Police Department,AL0660100
"163,079",Dallas County Sheriff Department,AL0270000
"163,079",Hale County  Sheriff Department,AL0036000
"163,079",Marion Police Department,AL0530100
"163,079",Perry County Sheriff Department,AL0053000
"163,079",Selma Police Department,AL0270100
"163,079",Wilcox County Sheriff Department,AL0066000
"163,016",Bend Police Department,OR0090100
"163,016",Crook County Sheriff's Office,OR0070000
"163,016",Deschutes County Sheriff's Office,OR0090000
"163,016",Jefferson County Sheriff's Office,OR0160000
"163,016",Madras Police Department,OR0160200
"163,016",Prineville Police Department,OR0070100
"163,016",Redmond Police Department,OR0090200
"162,958",17th Judicial Circuit District Attorney,AL048015A
"162,958",Clarke County Sheriff's Department,AL0160000
"162,958",Cuba Police Department,AL0600300
"162,958",Demopolis Police Department,AL0480100
"162,958",Eutaw Police Department,AL0350100
"162,958",Greene County Sheriff's Department,AL0350000
"162,958",Linden Police Department,AL0480200
"162,958",Livingston Police Department,AL0600200
"162,958",Marengo County Sheriff's Department,AL0480000
"162,958",Thomaston Police Department,AL0480300
"162,958",University of West Alabama Campus Police,AL0600500
"162,958",York Police Department,AL0600100
"162,925",City of Alpena,MI0421500
"162,925",City of Rogers City,MI7170600
"162,925",County of Alcona,MI0110100
"162,925",County of Alpena,MI0410400
"162,925",County of Montmorency,MI6016000
"162,925",County of Presque Isle,MI7117100
"162,925",Michigan State Police,MI0407400
"162,922",Arlington County,VA0070100
"162,922",City of Alexandria,VA0990010
"162,922",City of Fairfax,VA1075000
"162,922",City of Falls Church,VA1080000
"162,922",City of Manassas,VA0750100
"162,922",City of Manassas Park,VA0750200
"162,922",Fairfax County,VA0290100
"162,922",Loudoun County,VA0530000
"162,922",Prince William County,VA0750300
"162,922",Town of Herndon,VA0290200
"162,922",Town of Leesburg,VA0530100
"162,922",Town of Vienna,VA0290300
"162,922",Virginia State Police,VAVSP0700
"162,919",Caldwell Police Department,ID0140100
"162,919",Canyon County Sheriff's Office,ID0140000
"162,884",Blaine County,MT0030000
"162,884",City of Havre,MT0210100
"162,884",Daniels County,MT0100000
"162,884",Fort Belknap Indian Reservation,MTDI05400
"162,884",Hill County,MT0210000
"162,884",Liberty County,MT0260000
"162,884",Phillips County,MT0360000
"162,884",Rocky Boy Indian Reservation,MT0210100
"162,884",Sheridan County,MT046013N
"162,884",Valley County,MT0530000
"162,818",Childersburg Police Department,AL0610300
"162,818","District Attorney's Office of the 29th Judicial Circuit, Alabama",AL061015A
"162,818",Lincoln Police Department,AL0610400
"162,818",Sylacauga Police Department,AL0610100
"162,818",Talladega County Sheriff's Department,AL0610000
"162,818",Talladega Police Department,AL0610200
"162,751",Northport Police Department,AL0630200
"162,751",Tuscaloosa County Sheriff's Office,AL0630000
"162,751",Tuscaloosa District Attorney's Office,AL063015A
"162,751",Tuscaloosa Police Department,AL0630100
"162,751",University of Alabama Police Department,AL0630300
"162,691",Adair County Sheriff's Office,OK0010000
"162,691",Cherokee County Sheriff's Office,OK0110000
"162,691",District 27 Drug Task Force,OK011015A
"162,691",Sallisaw Police Department,OK0680100
"162,691",Sequoyah County Sheriff's Office,OK0680000
"162,691",Tahlequah Police Department,OK0110100
"162,691",Wagoner County Sheriff'f Office,OK0730000
"162,691",Westville Police Department,OK0010200
"162,661",Coffee County Sheriff's Office,TN0160000
"162,661",District Attorney's Office,TN0160500
"162,599",BROOKFIELD POLICE DEPARTMENT,MO0580100
"162,599",BRUNSWICK POLICE DEPARTMENT,MO0210100
"162,599",CHARITON COUNTY SHERIFF'S DEPARTMENT,MO0210000
"162,599",CLARK COUNTY SHERIFF'S DEPARTMENT,MO0230000
"162,599",EDINA POLICE DEPARTMENT,MO0520200
"162,599",HUNTSVILLE POLICE DEPARTMENT,MO0880200
"162,599",KAHOKA POLICE DEPARTMENT,MO0230100
"162,599",KNOX COUNTY SHERIFF'S DEPARTMENT,MO0520000
"162,599",MACON COUNTY SHERIFF'S DEPARTMENT,MO0610300
"162,599",MEMPHIS POLICE DEPARTMENT,MO1000100
"162,599",MILAN POLICE DEPARTMENT,MO1060100
"162,599",MOBERLY POLICE DEPARTMENT,MO0880300
"162,599",PUTNAM COUNTY SHERIFF'S DEPARTMENT,MO0860000
"162,599",RANDOLPH COUNTY SHERIFF'S DEPARTMENT,MO0880000
"162,599",SALISBURY POLICE DEPARTMENT,MO0210400
"162,599",SCOTLAND COUNTY SHERIFF'S DEPARTMENT,MO1000000
"162,599",SULLIVAN COUNTY SHERIFF'S DEPARTMENT,MO1060000
"162,576",Allegany County Sheriffs Office,MD0010000
